"filename", "language", "Batch", "XML", "Makefile", "Ini", "Shell Script", "C++", "Lua", "C", "TeX", "LaTeX", "BibTeX", "CMake", "Markdown", "YAML", "Python", "reStructuredText", "Objective-C", "Objective-C++", "CSS", "HTML", "Less", "SCSS", "Groovy", "JavaScript", "comment", "blank", "total"
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\VertexArray.h", "C++", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Window.h", "C++", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 49
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\imgui\ImGuiBuild.cpp", "C++", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\imgui\ImGuiLayer.cpp", "C++", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21, 95
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\imgui\ImGuiLayer.h", "C++", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 26
"d:\Projects\nodens-engine\Moxxi\src\Platform\OpenGL\OpenGLBuffer.cpp", "C++", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 67
"d:\Projects\nodens-engine\Moxxi\src\Platform\OpenGL\OpenGLBuffer.h", "C++", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 42
"d:\Projects\nodens-engine\Moxxi\src\Platform\OpenGL\OpenGLContext.cpp", "C++", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 37
"d:\Projects\nodens-engine\Moxxi\src\Platform\OpenGL\OpenGLContext.h", "C++", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22
"d:\Projects\nodens-engine\Moxxi\src\Platform\OpenGL\OpenGLRendererAPI.cpp", "C++", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 73
"d:\Projects\nodens-engine\Moxxi\src\Platform\OpenGL\OpenGLRendererAPI.h", "C++", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
"d:\Projects\nodens-engine\Moxxi\src\Platform\OpenGL\OpenGLShader.cpp", "C++", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 36, 175
"d:\Projects\nodens-engine\Moxxi\src\Platform\OpenGL\OpenGLShader.h", "C++", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"d:\Projects\nodens-engine\Moxxi\src\Platform\OpenGL\OpenGLVertexArray.cpp", "C++", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 80
"d:\Projects\nodens-engine\Moxxi\src\Platform\OpenGL\OpenGLVertexArray.h", "C++", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"d:\Projects\nodens-engine\Moxxi\src\Platform\Windows\WindowsInput.cpp", "C++", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 45
"d:\Projects\nodens-engine\Moxxi\src\Platform\Windows\WindowsInput.h", "C++", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\Projects\nodens-engine\Moxxi\src\Platform\Windows\WindowsWindow.cpp", "C++", 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24, 183
"d:\Projects\nodens-engine\Moxxi\src\Platform\Windows\WindowsWindow.h", "C++", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 50
"d:\Projects\nodens-engine\Moxxi\src\mxpch.cpp", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\nodens-engine\Moxxi\src\mxpch.h", "C++", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\.appveyor.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\.travis.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 73, 387
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\CMake\GenerateMappings.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 49
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\CMake\amd64-mingw32msvc.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\CMake\i586-mingw32msvc.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\CMake\i686-pc-mingw32.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\CMake\i686-w64-mingw32-clang.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\CMake\i686-w64-mingw32.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\CMake\modules\FindEpollShim.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\CMake\modules\FindOSMesa.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 19
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\CMake\modules\FindVulkan.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 42
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\CMake\modules\FindWaylandProtocols.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\CMake\modules\FindXKBCommon.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 35
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\CMake\x86_64-w64-mingw32-clang.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\CMake\x86_64-w64-mingw32.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\CONTRIBUTORS.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 227
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 152
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\deps\KHR\khrplatform.h", "C++", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 28, 283
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\deps\getopt.c", "C", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 33, 231
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\deps\getopt.h", "C++", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 10, 58
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\deps\glad.c", "C", 0, 0, 0, 0, 0, 0, 0, 1626, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 27, 1679
"d:\Projects\nodens-engine\Moxxi\vendor\GLFW\deps\glad\gl.h", "C++", 0, 0, 0, 0, 0, 3776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 40, 3841
