2241, 74061., 89293
2257, 74446., 90863
2249, 74131., 89321
2263, 74439., 90240
2205, 74026., 89213
2237, 74250., 90077
2221, 74362., 89784
2256, 74397., 90732
2196, 74159., 89777
2241, 73984., 89181
2197, 73795., 88763
2216, 73585., 89191
2198, 73473., 88599
2212, 73452., 88244
2200, 73382., 88957
2208, 73375., 88428
2200, 73389., 88352
2206, 73767., 89188
2212, 73823., 89197
2205, 73613., 89453
2184, 73179., 88078
2232, 73263., 88645
2200, 73298., 88182
2211, 73158., 87890
2199, 72948., 88216
2210, 73074., 90775
2205, 72822., 87770
2214, 72864., 88017
2177, 72472., 87498
2185, 72332., 88555
2179, 72129., 88501
2181, 71954., 86426
2178, 71576., 86280
2202, 71499., 86882
2177, 71352., 86013
2203, 71688., 86560
2174, 71576., 86377
2201, 71828., 86633
2164, 71632., 86956
2188, 71667., 86435
2161, 71506., 86246
2181, 71737., 86400
2137, 71205., 86837
2182, 71359., 86428
2121, 71184., 85733
2147, 71415., 86038
2087, 71058., 85662
2139, 71128., 86046
2083, 70981., 85383
2124, 71212., 85857
2070, 71009., 85500
2124, 71247., 86058
2046, 70876., 85303
2089, 70932., 85697
2038, 70666., 84704
2061, 70568., 84982
2054, 70603., 84765
2066, 70638., 85360
2048, 70239., 84410
2081, 70302., 84538
2039, 70316., 84411
2064, 69854., 83918
2045, 69686., 83634
2044, 69581., 84326
2058, 69497., 83957
2027, 69133., 83349
2043, 69035., 83041
2047, 68958., 82710
2048, 68748., 82637
2029, 68321., 82224
2065, 68272., 82347
2029, 68006., 82046
2046, 67936., 81852
1995, 67677., 81389
1994, 67565., 81493
1953, 67628., 81467
1912, 67299., 80889
1930, 67383., 81490
1880, 67348., 81224
1887, 67250., 80911
1836, 66900., 80803
1827, 66830., 79981
1804, 66788., 81318
1792, 66508., 79540
1746, 66375., 79523
1741, 66207., 78836
1721, 66291., 79092
1711, 65976., 79697
1687, 65871., 78864
1661, 65409., 78102
1626, 65122., 77421
1612, 64695., 77150
1572, 64415., 76449
1556, 64079., 76603
1545, 63701., 75549
1551, 63393., 75462
1480, 63127., 74757
1476, 62749., 74482
1457, 62112., 73330
1459, 61979., 73954
1421, 61699., 72985
1409, 61377., 73594
1392, 61083., 72508
1374, 60684., 72120
1318, 60348., 71637
1326, 60194., 72314
1292, 59865., 70962
1274, 59795., 70849
1244, 59445., 69946
1233, 59130., 69946
1197, 58780., 69197
1135, 58311., 68467
1112, 57723., 67701
1087, 57583., 67954
1064, 57443., 67765
1040, 57002., 66729
1022, 56582., 66520
998, 56106., 65760
975, 55588., 65682
942, 54944., 64843
932, 54468., 63722
898, 53796., 63846
882, 53229., 62554
867, 52515., 61438
847, 51878., 60932
826, 51017., 59697
821, 50387., 59579
794, 49617., 58030
766, 49176., 49031
747, 48511., 56684
735, 47531., 47204
709, 46971., 46848
693, 46397., 45805
683, 45774., 45601
675, 45095., 44872
666, 44577., 43992
642, 43975., 43174
624, 43387., 42574
601, 42869., 41786
587, 42176., 41246
573, 41322., 40529
556, 40636., 39657
552, 40244., 39124
541, 39635., 38909
532, 38991., 38242
503, 38333., 37116
488, 37682., 36582
470, 36828., 35471
454, 36058., 34735
454, 35260., 39868
430, 34588., 33582
418, 33671., 32306
398, 32999., 37156
370, 32327., 31469
354, 31473., 30191
345, 30836., 29472
331, 30192., 29446
321, 29604., 27981
292, 28967., 26964
266, 28456., 26232
254, 28113., 30330
235, 27553., 25830
228, 26888., 28738
202, 26286., 23678
200, 25838., 27180
184, 25222., 22300
170, 24613., 21669
157, 24200., 24350
